acronym	Partnership	action
LVAD-Strat	ERA PerMed	ERA-NET Cofund
STRATALS	JPCOFUND2	ERA-NET Cofund
STAGE	AAL 2	Article 185
MISSION	ERA CoBioTech	ERA-NET Cofund
SMERT	EDCTP2	Article 185
SAFOODS	FOSC	ERA-NET Cofund
LusoAfro	EDCTP2	Article 185
SCINE-U	EDCTP2	Article 185
SELeCT	EDCTP2	Article 185
MEPIE study	EDCTP2	Article 185
SNAP ONE	JPIAMR-ACTION	ERA-NET Cofund
STREK	EDCTP2	Article 185
SteRN	EDCTP2	Article 185
STREC-Ghana	EDCTP2	Article 185
BREEDSAFCA	EDCTP2	Article 185
VARSAF	EDCTP2	Article 185
CureALS	JPco-fuND	ERA-NET Cofund
SHARP	ACT	ERA-NET Cofund
SUREVEG	CORE Organic Cofund	ERA-NET Cofund
PoC StrokeTest	Eurostars 2	Article 185
StrongComposite	ForestValue	ERA-NET Cofund
CFSExpert	Eurostars 2	Article 185
INSTEAD	M-ERA.NET 2	ERA-NET Cofund
SPATOMA	EDCTP2	Article 185
Toilet4me	AAL 2	Article 185
SCALES	FLAG-ERA II	ERA-NET Cofund
SCAN	ERA-CVD	ERA-NET Cofund
SYMMETRY	ERA PerMed	ERA-NET Cofund
SEADEC	Eurostars 2	Article 185
RePlay	Eurostars 2	Article 185
SUCCESS	AAL 2	Article 185
SVEET	Eurostars 2	Article 185
STAY	HDHL-INTIMIC	ERA-NET Cofund
SHEET	ICT-AGRI-FOOD	ERA-NET Cofund
SUBERB	Eurostars 2	Article 185
SiQUOS	QuantERA II	ERA-NET Cofund
SuperLink	QuantERA II	ERA-NET Cofund
SiUCs	QuantERA	ERA-NET Cofund
RESOLVE	EuroNanoMed III	ERA-NET Cofund
Clean Energy	EMPIR	Article 185
ForClimateOcean	EMPIR	Article 185
Energy Gases	EMPIR	Article 185
MATHMET	EMPIR	Article 185
Food-MetNet	EMPIR	Article 185
19NET01 AdvManuNet	EMPIR	Article 185
POLMO	EMPIR	Article 185
19NET02 EMN-Quantum	EMPIR	Article 185
19NET03 supportBSS	EMPIR	Article 185
SEG-net	EMPIR	Article 185
19NET04 MIRA	EMPIR	Article 185
TraceLabMed	EMPIR	Article 185
19NRM07 HV-com²	EMPIR	Article 185
SuPerTreat	ERA PerMed	ERA-NET Cofund
SALSA	AAL 2	Article 185
CO-MICC	ERA4CS	ERA-NET Cofund
BLOOWATER	WaterWorks2017	ERA-NET Cofund
PROJECT STABLE	Eurostars 2	Article 185
SCRUTINISE	Eurostars 2	Article 185
-SMILE-	M-ERA.NET 3	ERA-NET Cofund
HardCoat	M-ERA.NET 3	ERA-NET Cofund
ALD-SE	M-ERA.NET 3	ERA-NET Cofund
SPEEDY	EuroNanoMed III	ERA-NET Cofund
STELLAR	M-ERA.NET 3	ERA-NET Cofund
SEARCHER	JPIAMR-ACTION	ERA-NET Cofund
SARA	AquaticPollutants	ERA-NET Cofund
OptiPack	Eurostars 2	Article 185
Gold Matters	T2S	ERA-NET Cofund
SuSI	SusAn	ERA-NET Cofund
SusPig	SusAn	ERA-NET Cofund
STF4SW	M-ERA.NET 3	ERA-NET Cofund
SALAM-MED	PRIMA	Article 185
SUSPHIRE	ERA CoBioTech	ERA-NET Cofund
MarineCare	Eurostars 2	Article 185
SERPIC	AquaticPollutants	ERA-NET Cofund
PLATEFORMS	SUSFOOD2	ERA-NET Cofund
SHAPE	M-ERA.NET 3	ERA-NET Cofund
SusHiBatt	M-ERA.NET 3	ERA-NET Cofund
SIGMA-NEXUS	PRIMA	Article 185
SUSMEAL	Eurostars 2	Article 185
SuMREE	ERA-MIN3	ERA-NET Cofund
SCOPE	ACT	ERA-NET Cofund
SpotMe	Eurostars 2	Article 185
SPAREC	SUSFOOD2	ERA-NET Cofund
Gold-PAWS	M-ERA.NET 3	ERA-NET Cofund
BIOMETCHEM	ERA CoBioTech	ERA-NET Cofund
SynConsor4Butanol	ERA CoBioTech	ERA-NET Cofund
MAESTRO	AAL 2	Article 185
SusSheP	SusAn	ERA-NET Cofund
THERMOSS	M-ERA.NET 2	ERA-NET Cofund
SUMINAPP	Eurostars 2	Article 185
SWRIPS	PRIMA	Article 185
SAFEST	EMPIR	Article 185
MarTEnergy	M-ERA.NET 2	ERA-NET Cofund
DURATRANS	M-ERA.NET 3	ERA-NET Cofund
SURECITY	ENSCC	ERA-NET Cofund
SuSaNa	M-ERA.NET 3	ERA-NET Cofund
ROBOCRETE	Eurostars 2	Article 185
SustMultBiomass	ForestValue	ERA-NET Cofund
REWATER	WaterWorks2015	ERA-NET Cofund
SAFFIA	M-ERA.NET 2	ERA-NET Cofund
SHAPE	AXIS	ERA-NET Cofund
Sun2Fork	PRIMA	Article 185
RESERVOIR	PRIMA	Article 185
SIRAM	PRIMA	Article 185
HY-MAN	MANUNET III	ERA-NET Cofund
Sustain-COAST	PRIMA	Article 185
BIOCORE	Eurostars 2	Article 185
OLEOFERM	ERA CoBioTech	ERA-NET Cofund
SusPigSys	SusAn	ERA-NET Cofund
SuMaFood	BlueBio	ERA-NET Cofund
SUSPUFA	SUSFOOD2	ERA-NET Cofund
SPiwi	CORE Organic Cofund	ERA-NET Cofund
SUSTAIN-COCOA	BiodivClim	ERA-NET Cofund
FRUALGAE	PRIMA	Article 185
RECOWATDIG	WaterWorks2017	ERA-NET Cofund
UpWaste	FACCE SURPLUS	ERA-NET Cofund
SPORE-MED	PRIMA	Article 185
MARIGREEN	BlueBio	ERA-NET Cofund
BIOZOOSTAIN	BlueBio	ERA-NET Cofund
SAFE	PRIMA	Article 185
OurMED	PRIMA	Article 185
PhagePow(d)er	Eurostars 2	Article 185
SWITCHtoHEALTHY	PRIMA	Article 185
SOIL-HEAL	EJP SOIL	EJP Cofund
STAD	JPco-fuND	ERA-NET Cofund
CircProt	JPco-fuND	ERA-NET Cofund
TREAT-SNGAP	NEURON Cofund	ERA-NET Cofund
SUCCEED	ACT	ERA-NET Cofund
SuperP2G	EN SGplusRegSys	ERA-NET Cofund
SENSE	SusAn	ERA-NET Cofund
SYNSTAR	Eurostars 2	Article 185
ImmunoTherapyScreen	Eurostars 2	Article 185
BlueGreenFeed	BlueBio	ERA-NET Cofund
ETMOS	FLAG-ERA III	ERA-NET Cofund
HYSUCAP	M-ERA.NET 2	ERA-NET Cofund
SIMPLANT	FLAG-ERA II	ERA-NET Cofund
Syntheroids	ERA CoBioTech	ERA-NET Cofund
SynBioMet	ERA CoBioTech	ERA-NET Cofund
SYNtherapy	ERA PerMed	ERA-NET Cofund
SYNBIOGAS	ERA CoBioTech	ERA-NET Cofund
SyCoLim	ERA CoBioTech	ERA-NET Cofund
Hybrid Macrocycles	Eurostars 2	Article 185
ICECONTROL	Eurostars 2	Article 185
MODELS	Eurostars 2	Article 185
UWB_SENS	Eurostars 2	Article 185
SEABLADE	OCEANERA-NET COFUND	ERA-NET Cofund
SIMMBAP	TRANSCAN-3	ERA-NET Cofund
NEURONODE	JPco-fuND	ERA-NET Cofund
RNA-NEURO	JPco-fuND	ERA-NET Cofund
SysMed-COPD	ERACoSysMed	ERA-NET Cofund
IonDrive	Eurostars 2	Article 185
Sys-MIFTA	ERACoSysMed	ERA-NET Cofund
SysAFib	ERACoSysMed	ERA-NET Cofund
SysPharmPediA	ERACoSysMed	ERA-NET Cofund
T-CHAIR	Eurostars 2	Article 185
T-Plex EAC	TRANSCAN-3	ERA-NET Cofund
T4ME2	AAL 2	Article 185
FiberTAG	ERA-HDHL	ERA-NET Cofund
TAMDMD	E-Rare-3	ERA-NET Cofund
ADORe	NEURON Cofund	ERA-NET Cofund
TACTIC	TRANSCAN-2	ERA-NET Cofund
TALETE	TRANSCAN-3	ERA-NET Cofund
TBI-Insights	Eurostars 2	Article 185
Effigears	Eurostars 2	Article 185
TENTACLES	EuroNanoMed III	ERA-NET Cofund
THERMALASER	Eurostars 2	Article 185
THERMOPRINT	Eurostars 2	Article 185
TIMED	CHANSE	ERA-NET Cofund
AHIM	EDCTP2	Article 185
NNPU	EDCTP2	Article 185
WOHU	EDCTP2	Article 185
ALYO	EDCTP2	Article 185
EZTA	EDCTP2	Article 185
MIRI	EDCTP2	Article 185
TOP-UP	EN SGplusRegSys	ERA-NET Cofund
TREAT-Essential	ERA PerMed	ERA-NET Cofund
NANOPROSTATE	Eurostars 2	Article 185
REDESIGN	ERA PerMed	ERA-NET Cofund
TRIBA	Eurostars 2	Article 185
TRUSTMAKING	ENUTC	ERA-NET Cofund
TRUE-REPLACE	Eurostars 2	Article 185
TRUEPATH	T2S	ERA-NET Cofund
TRIAGE	JPCOFUND2	ERA-NET Cofund
TURNING-TIDE	Eurostars 2	Article 185
TV_SDN	Eurostars 2	Article 185
TV-AssistDem	AAL 2	Article 185
TCWDE	ICRAD	ERA-NET Cofund
PLASTIG	TRANSCAN-3	ERA-NET Cofund
PreTouch	NEURON Cofund	ERA-NET Cofund
AeroFilter	Eurostars 2	Article 185
CARB-Q-4-HEALTH	HDHL-INTIMIC	ERA-NET Cofund
TIPS	ERA PerMed	ERA-NET Cofund
GreenBraid	Eurostars 2	Article 185
PURISIMO	Eurostars 2	Article 185
CLL-CLUE	ERA PerMed	ERA-NET Cofund
TALANOA-WATER	PRIMA	Article 185
TENACITY	TRANSCAN-3	ERA-NET Cofund
BioProtect	SusCrop	ERA-NET Cofund
TIPQMed	Eurostars 2	Article 185
LYMIT-DIS	ERA-CVD	ERA-NET Cofund
NANOFIB	M-ERA.NET 3	ERA-NET Cofund
TANDEM	JPIAMR-ACTION	ERA-NET Cofund
TOPFLOTE	OCEANERA-NET COFUND	ERA-NET Cofund
DeLiver	Eurostars 2	Article 185
TAT-OV-ASTATINE-2	Eurostars 2	Article 185
METASTARG	EuroNanoMed III	ERA-NET Cofund
HOTMATS	JPIAMR-ACTION	ERA-NET Cofund
TREATKCNQ	EJP RD	EJP Cofund
TackleCSVD	NEURON Cofund2	ERA-NET Cofund
TORPEDO	TRANSCAN-2	ERA-NET Cofund
OASIs	EuroNanoMed III	ERA-NET Cofund
TRanSLIT	TRANSCAN-3	ERA-NET Cofund
SUBLYME	Eurostars 2	Article 185
SensingASD	NEURON Cofund	ERA-NET Cofund
TAO2PATHY	NEURON Cofund	ERA-NET Cofund
KARTLE	NEURON Cofund	ERA-NET Cofund
NanoNET	EuroNanoMed III	ERA-NET Cofund
EPI-AD	JPco-fuND	ERA-NET Cofund
MECCA	AXIS	ERA-NET Cofund
IMMUSPHINX	TRANSCAN-2	ERA-NET Cofund
RELIABLE	ERA PerMed	ERA-NET Cofund
ONCO-TARGET	Eurostars 2	Article 185
OxidoCurin	Eurostars 2	Article 185
TSARA	FACCE SURPLUS	ERA-NET Cofund
14SIP01 Vacuum ISO	EMPIR	Article 185
15NRM02 UHV	EMPIR	Article 185
CSPplus	CSP ERANET	ERA-NET Cofund
Im-Pack	PRIMA	Article 185
T-CAB	Eurostars 2	Article 185
GreenPack	Eurostars 2	Article 185
19SIP05 TTPWC	EMPIR	Article 185
RESILIEN-T	AAL 2	Article 185
Top-Lamp	Eurostars 2	Article 185
WeBoat	MarTERA	ERA-NET Cofund
17SIP04 Trove	EMPIR	Article 185
FlysEyes	Eurostars 2	Article 185
Thermos	M-ERA.NET 3	ERA-NET Cofund
T-Heat	Eurostars 2	Article 185
TSAR	Eurostars 2	Article 185
TEMPEAT	EuroNanoMed III	ERA-NET Cofund
TRAJECTOME	ERA PerMed	ERA-NET Cofund
T-NiSQ	QuantERA II	ERA-NET Cofund
TWYSTER	Eurostars 2	Article 185
ThinQ	FLAG-ERA III	ERA-NET Cofund
BIOGEA	BiodivERsA3	ERA-NET Cofund
TEDAI	Eurostars 2	Article 185
TexPie	M-ERA.NET 3	ERA-NET Cofund
MoDeM	FLAG-ERA III	ERA-NET Cofund
ANEMONE	TRANSCAN-3	ERA-NET Cofund
APEEX	Eurostars 2	Article 185
Alvarez.OPTOMETER	Eurostars 2	Article 185
AAP	Eurostars 2	Article 185
COMPAIN	NEURON Cofund2	ERA-NET Cofund
SMART	Eurostars 2	Article 185
DiSCoVeR	NEURON Cofund	ERA-NET Cofund
VIZIER	AAL 2	Article 185
TEHSA	EDCTP2	Article 185
FUNGAL-UG	EDCTP2	Article 185
EuroDBA	E-Rare-3	ERA-NET Cofund
RiboEurope	EJP RD	EJP Cofund
SPAS	HERA-JRP-PS	ERA-NET Cofund
FEW-meter	EN-SUGI	ERA-NET Cofund
STRONG HIPS	Eurostars 2	Article 185
APNOEAWAY	Eurostars 2	Article 185
CoSySpeech	NEURON Cofund	ERA-NET Cofund
FUTUREBODY	NEURON Cofund	ERA-NET Cofund
ILLUMINUS	Eurostars 2	Article 185
INSPIRE GIS	Eurostars 2	Article 185
LGF	Eurostars 2	Article 185
PAS-AGRO-PAS	PRIMA	Article 185
M-NEX	EN-SUGI	ERA-NET Cofund
OPTINUON	Eurostars 2	Article 185
OncoFitin Drug Conjugates	Eurostars 2	Article 185
PREVAC-UP	EDCTP2	Article 185
Pioneer_STP	WaterWorks2014	ERA-NET Cofund
PreTAD	NEURON Cofund	ERA-NET Cofund
VIRTUETHIC	NEURON Cofund2	ERA-NET Cofund
QSHIFT	CHANSE	ERA-NET Cofund
REEHAD	EDCTP2	Article 185
IPACST	T2S	ERA-NET Cofund
RUDE	Governance	ERA-NET Cofund
SciConf	HERA-JRP-PS	ERA-NET Cofund
Single HPA Unit	Eurostars 2	Article 185
AQUATIME	AAL 2	Article 185
SoLiXG	CHANSE	ERA-NET Cofund
THREATPIE	Governance	ERA-NET Cofund
DEEP-MAM	Eurostars 2	Article 185
ALEXANDER	EJP RD	EJP Cofund
TIGER	GENDER NET Plus	ERA-NET Cofund
The debt	HERA JRP UP	ERA-NET Cofund
TREAT-MEMT	Eurostars 2	Article 185
NASAMP	Eurostars 2	Article 185
Build-Wise	Eurostars 2	Article 185
ASSURE-ID	Eurostars 2	Article 185
TUBATEST	Eurostars 2	Article 185
VALBIOME	Eurostars 2	Article 185
WEARION	Eurostars 2	Article 185
MURYXIN	JPIAMR-ACTION	ERA-NET Cofund
CALSER	E-Rare-3	ERA-NET Cofund
CropGas	EJP SOIL	EJP Cofund
TilSoilC	EJP SOIL	EJP Cofund
EEYRASPS	HERA-JRP-PS	ERA-NET Cofund
FLAVICURE	Eurostars 2	Article 185
AutoHatch	Eurostars 2	Article 185
Lymph-O	Eurostars 2	Article 185
BETTER FISH	Eurostars 2	Article 185
StretchTex	Eurostars 2	Article 185
REEF-FUTURES	BiodivScen	ERA-NET Cofund
HERILIGION	HERA JRP UP	ERA-NET Cofund
IMCHILD	DIAL	ERA-NET Cofund
OxyUC	ERACoSysMed	ERA-NET Cofund
TB Lung FACT	EDCTP2	Article 185
Brainsynch-Hit	FLAG-ERA II	ERA-NET Cofund
HEROES	JPco-fuND	ERA-NET Cofund
MOSAIC	EDCTP2	Article 185
MeniSPYs	NEURON Cofund2	ERA-NET Cofund
mHealthINX	AAL 2	Article 185
MASE	NEURON Cofund2	ERA-NET Cofund
FairCare	AAL 2	Article 185
ForestMap	ForestValue	ERA-NET Cofund
Xpatch	Eurostars 2	Article 185
ISIpedia	ERA4CS	ERA-NET Cofund
EPIDEMIC	HDHL-INTIMIC	ERA-NET Cofund
EPIDEMIC	HDHL-INTIMIC	ERA-NET Cofund
ADNPinMED	NEURON Cofund	ERA-NET Cofund
PROGERIA	EJP RD	EJP Cofund
SoHoLab	ENSUF	ERA-NET Cofund
VIPattract	FLAG-ERA III	ERA-NET Cofund
IMMOSCAN	TRANSCAN-3	ERA-NET Cofund
InformaTB	EDCTP2	Article 185
DIME	HDHL-INTIMIC	ERA-NET Cofund
FORECO	ForestValue	ERA-NET Cofund
BIO-Tide	BiodivERsA3	ERA-NET Cofund
TRANSMECH	NEURON Cofund	ERA-NET Cofund
SoundSight	FLAG-ERA III	ERA-NET Cofund
TransMic	HDHL-INTIMIC	ERA-NET Cofund
GAALaxy	AAL 2	Article 185
Poultrynsect	CORE Organic Cofund	ERA-NET Cofund
MonitoRD	Eurostars 2	Article 185
ZERO-TOUCH	Eurostars 2	Article 185
TESTIMONIES	M-ERA.NET 2	ERA-NET Cofund
TheBlinQC	QuantERA	ERA-NET Cofund
IMatrix	NEURON Cofund2	ERA-NET Cofund
THERENIA	NEURON Cofund	ERA-NET Cofund
SCN1A-up!	EJP RD	EJP Cofund
EMTherapy	Eurostars 2	Article 185
TBC4H2	M-ERA.NET 3	ERA-NET Cofund
TH.E.R.BIO.R	WaterWorks2014	ERA-NET Cofund
TES4Trig	CSP ERANET	ERA-NET Cofund
THOR	Eurostars 2	Article 185
PHIGO	ERA-MIN3	ERA-NET Cofund
THERMO	MANUNET III	ERA-NET Cofund
HotSolute	ERA CoBioTech	ERA-NET Cofund
ThermoK	FOSC	ERA-NET Cofund
HERO	M-ERA.NET 3	ERA-NET Cofund
ThermoMicrocarriers	Eurostars 2	Article 185
UNDPOLAR	Governance	ERA-NET Cofund
3D-CAPS	ACT	ERA-NET Cofund
TARID	EJP RD	EJP Cofund
GeConnect	GEOTHERMICA	ERA-NET Cofund
15SIP04 TIMEFUNC	EMPIR	Article 185
TSBank	AAL 2	Article 185
TRAINS	NEURON Cofund	ERA-NET Cofund
TESHI	Eurostars 2	Article 185
ARCATOR	Eurostars 2	Article 185
GENOMIT	EJP RD	EJP Cofund
ATeNaS	WaterWorks2017	ERA-NET Cofund
LQTS-NEXT	EJP RD	EJP Cofund
sustainable co-production	ERA CoBioTech	ERA-NET Cofund
TPR	Eurostars 2	Article 185
SOLNUE	SusCrop	ERA-NET Cofund
TREND	MANUNET III	ERA-NET Cofund
TAAM	EN-UAC	ERA-NET Cofund
IP4SME	Eurostars 2	Article 185
URBANWAT	WaterWorks2017	ERA-NET Cofund
TACTIC	GeoERA	ERA-NET Cofund
TOPVOYS	MarTERA	ERA-NET Cofund
TEAPOTS	JPIAMR-ACTION	ERA-NET Cofund
PERCEBES	BiodivERsA3	ERA-NET Cofund
SuperTop	QuantERA	ERA-NET Cofund
14IND14 MNm Torque	EMPIR	Article 185
ToTEM	Eurostars 2	Article 185
TACO ALGAE	BlueBio	ERA-NET Cofund
MINICAB	Eurostars 2	Article 185
PROMPT	ERA PerMed	ERA-NET Cofund
VitiSmart	FACCE SURPLUS	ERA-NET Cofund
2BoSS	ERA-MIN3	ERA-NET Cofund
TAIFUN	MarTERA	ERA-NET Cofund
OUTERMOST	Eurostars 2	Article 185
ToBeBio	Eurostars 2	Article 185
CON-VIVA	T2S	ERA-NET Cofund
U-TOPIA	AAL 2	Article 185
PERMANENS	ERA PerMed	ERA-NET Cofund
PrOperPhotoMiLe	Solar Cofund 2	ERA-NET Cofund
TRUSTFARM	FOSC	ERA-NET Cofund
RouTe	QuantERA	ERA-NET Cofund
SUSCHOICE	SUSFOOD2	ERA-NET Cofund
16NRM05 Ion gauge	EMPIR	Article 185
NUTRIGUT	Eurostars 2	Article 185
SUPREM-MILK	PRIMA	Article 185
ONAKI-ICI	ERA PerMed	ERA-NET Cofund
PERMEPSY	ERA PerMed	ERA-NET Cofund
MEDWATERICE	PRIMA	Article 185
HEARit	Eurostars 2	Article 185
TouQan	QuantERA II	ERA-NET Cofund
16NRM04 MagNaStand	EMPIR	Article 185
TIM	OCEANERA-NET COFUND	ERA-NET Cofund
Afri-KA-DIA	EDCTP2	Article 185
HAT-r-ACC	EDCTP2	Article 185
HortiMED	PRIMA	Article 185
ImmunoSafe-CeD	ERA-HDHL	ERA-NET Cofund
RESCHEDULE	PRIMA	Article 185
GloBAM	BiodivScen	ERA-NET Cofund
PrimA-LTD	EMPIR	Article 185
TEXAS	JPIAMR-ACTION	ERA-NET Cofund
QuantumPascal	EMPIR	Article 185
PHOENIX	Eurostars 2	Article 185
STOP	EDCTP2	Article 185
14RPT01 ACQ-PRO	EMPIR	Article 185
MedFood	PRIMA	Article 185
TraceMyFish	BlueBio	ERA-NET Cofund
ProbeTrace	EMPIR	Article 185
TEMMT	EMPIR	Article 185
MetExSPM	EMPIR	Article 185
15RPT04 TracePQM	EMPIR	Article 185
TRUEPAC	Eurostars 2	Article 185
14RPT02 AWICal	EMPIR	Article 185
19NRM01 MRgRT-DOS	EMPIR	Article 185
OptoRough	Eurostars 2	Article 185
TracOptic	EMPIR	Article 185
MetForTC	EMPIR	Article 185
19ENG08 WindEFCY	EMPIR	Article 185
ATMOC	EMPIR	Article 185
15SIB09 3DNano	EMPIR	Article 185
17SIP06 FAME VNA	EMPIR	Article 185
Gold_Insight	ERA-MIN 2	ERA-NET Cofund
LOCATOR	EDCTP2	Article 185
TRACE-RICE	PRIMA	Article 185
Propekal5	E-Rare-3	ERA-NET Cofund
C-TREES	Eurostars 2	Article 185
TASPAIR	Eurostars 2	Article 185
MEMORY	ERA-CVD	ERA-NET Cofund
Eco-FertiS	PRIMA	Article 185
TC NER	EJP RD	EJP Cofund
FreeRelease	EMPIR	Article 185
To2Dox	FLAG-ERA III	ERA-NET Cofund
TAPESTRY	T2S	ERA-NET Cofund
T2GS	T2S	ERA-NET Cofund
TANGO-W	ENUTC	ERA-NET Cofund
TRANSFORMED	PRIMA	Article 185
VENUS	PRIMA	Article 185
ST/TS SC T&T	Eurostars 2	Article 185
TEtrARCHs	CHANSE	ERA-NET Cofund
StreetForum	EN-UAC	ERA-NET Cofund
TuneOurBlock	EN-UAC	ERA-NET Cofund
TRANSITION	M-ERA.NET 3	ERA-NET Cofund
Mush-Med	PRIMA	Article 185
PERescue	E-Rare-3	ERA-NET Cofund
TRIP	EDCTP2	Article 185
TreatRP	EJP RD	EJP Cofund
CLIM2POWER	ERA4CS	ERA-NET Cofund
ClimApp	ERA4CS	ERA-NET Cofund
EXIT-TB	EDCTP2	Article 185
TraP-MEDD	FLAG-ERA III	ERA-NET Cofund
EuroTCLym	TRANSCAN-2	ERA-NET Cofund
BioStress	NEURON Cofund	ERA-NET Cofund
TRANSMAL	Eurostars 2	Article 185
Transloc	BiodivRestore	ERA-NET Cofund
CloudGrid	ERANet SmartGridPlus	ERA-NET Cofund
PRONICARE	MarTERA	ERA-NET Cofund
SusPot	ICT-AGRI-FOOD	ERA-NET Cofund
CLEARPV	M-ERA.NET 2	ERA-NET Cofund
QNet	QuantERA II	ERA-NET Cofund
NanoGSkin	EuroNanoMed III	ERA-NET Cofund
TAIOL	QuantERA	ERA-NET Cofund
TREAD-STAR	Eurostars 2	Article 185
TREATCANCERV	Eurostars 2	Article 185
DrEYE	NEURON Cofund	ERA-NET Cofund
IMMUNOMONITOR	Eurostars 2	Article 185
TREAT-HER2	Eurostars 2	Article 185
BarkBuild	ForestValue	ERA-NET Cofund
TRISP	DIAL	ERA-NET Cofund
TESA II	EDCTP2	Article 185
TNITE	Eurostars 2	Article 185
TRIBO	Eurostars 2	Article 185
Trolley 2.0	EMEurope	ERA-NET Cofund
TRUESOIL	EJP SOIL	EJP Cofund
TRAVIS	CHANSE	ERA-NET Cofund
Top4HoneyChains	ICT-AGRI-FOOD	ERA-NET Cofund
TubeMon	Solar Cofund 2	ERA-NET Cofund
TB-DAS	Eurostars 2	Article 185
TREATS	EDCTP2	Article 185
TWENDE	EDCTP2	Article 185
ETHERNAL FRAME	Eurostars 2	Article 185
TATTOS	FLAG-ERA III	ERA-NET Cofund
TuPAMo	Eurostars 2	Article 185
WISH-ROOTS	EJP SOIL	EJP Cofund
NEWFEED	PRIMA	Article 185
COMET	EMPIR	Article 185
New PDEI drugs in wounds.	Eurostars 2	Article 185
TSCAC	EMPIR	Article 185
U-GARDEN	ENUTC	ERA-NET Cofund
AID4PV	Solar Cofund 2	ERA-NET Cofund
UHR PET	Eurostars 2	Article 185
UNDINA	MarTERA	ERA-NET Cofund
UNIFORM	Eurostars 2	Article 185
UNMET	NEURON Cofund	ERA-NET Cofund
URBANGAIA	BiodivERsA3	ERA-NET Cofund
URCLIM	ERA4CS	ERA-NET Cofund
US-PPIP	HERA JRP UP	ERA-NET Cofund
ABtomat	ERA-MIN3	ERA-NET Cofund
ROSÉ-FILTER	Eurostars 2	Article 185
Ucollect	AAL 2	Article 185
ULMAN	M-ERA.NET 3	ERA-NET Cofund
ULLTRAS	Eurostars 2	Article 185
WebInsight	Eurostars 2	Article 185
ULTRAPLAY	Eurostars 2	Article 185
MOBITOUCH - ID	Eurostars 2	Article 185
ULTCC6G_EPac	M-ERA.NET 2	ERA-NET Cofund
UP-CEMS	Eurostars 2	Article 185
THINTECS	Eurostars 2	Article 185
UTOFPET	PhotonicSensing	ERA-NET Cofund
O2 HighSpeed	Eurostars 2	Article 185
UHV-Piezo	Eurostars 2	Article 185
GASOPOC	Eurostars 2	Article 185
LaserStarLine	Eurostars 2	Article 185
HELIOS II	Eurostars 2	Article 185
17FUN03 USOQS	EMPIR	Article 185
UQuaC	Eurostars 2	Article 185
ELAM	M-ERA.NET 2	ERA-NET Cofund
NanoTRAACES	M-ERA.NET 3	ERA-NET Cofund
USOSP	Eurostars 2	Article 185
CaliSonic	Eurostars 2	Article 185
Ultraclean	MANUNET III	ERA-NET Cofund
UltraJM	Eurostars 2	Article 185
UVICOAT	MANUNET III	ERA-NET Cofund
DELICIOUS	PRIMA	Article 185
14SIP02 EO e-Learning	EMPIR	Article 185
USC - Flex Store	EN SGplusRegSys	ERA-NET Cofund
MICRODIET	HDHL-INTIMIC	ERA-NET Cofund
IFWEN	EN-SUGI	ERA-NET Cofund
URBANMYCOSERVE	BiodivERsA3	ERA-NET Cofund
BeeConnected	ICT-AGRI-FOOD	ERA-NET Cofund
InvasiBES	BiodivScen	ERA-NET Cofund
DIVERGRAPE	SusCrop	ERA-NET Cofund
ReDyslexia	NEURON Cofund2	ERA-NET Cofund
iParaCyts	TRANSCAN-3	ERA-NET Cofund
UnscrAMBLY	NEURON Cofund2	ERA-NET Cofund
CROSSLINK	BiodivERsA3	ERA-NET Cofund
ERAdicatPH	E-Rare-3	ERA-NET Cofund
NMDAR-PSY	NEURON Cofund	ERA-NET Cofund
HYPNOBIO	EDCTP2	Article 185
Preg_multidrug	EDCTP2	Article 185
PIGIE	ICRAD	ERA-NET Cofund
hMRIofSCI	NEURON Cofund	ERA-NET Cofund
PhysPath-KS	EJP RD	EJP Cofund
SusTradeOff	SusAn	ERA-NET Cofund
15RPT02 UNAC-LOW	EMPIR	Article 185
ResourceQ	QuantERA II	ERA-NET Cofund
MSA for SUB's	Eurostars 2	Article 185
PEPOLL COUNT	Eurostars 2	Article 185
Predict	Eurostars 2	Article 185
MUSHNOMICS	ICT-AGRI-FOOD	ERA-NET Cofund
AlgaeBrew	SUSFOOD2	ERA-NET Cofund
ULTRADRY	M-ERA.NET 3	ERA-NET Cofund
UNCHAIN	AXIS	ERA-NET Cofund
SPONFOREST	BiodivERsA3	ERA-NET Cofund
PICASSO	ERA-CVD	ERA-NET Cofund
SYNACTION	JPco-fuND	ERA-NET Cofund
URGENT	EJP RD	EJP Cofund
STEM	Eurostars 2	Article 185
SEN-ETHICS	EDCTP2	Article 185
rPET	Eurostars 2	Article 185
CO2SeaStone	Eurostars 2	Article 185
Up-Weld	MANUNET III	ERA-NET Cofund
Up-Whey	BESTF3	ERA-NET Cofund
DIGICITIES	EnerDigit	ERA-NET Cofund
Urban Education Live	ENSUF	ERA-NET Cofund
URBANFOSC	FOSC	ERA-NET Cofund
BREATHE	ENSCC	ERA-NET Cofund
Urbanising in Place	EN-SUGI	ERA-NET Cofund
UCEU	EDCTP2	Article 185
UriCoV	ERA PerMed	ERA-NET Cofund
UBIOBCA	ERA PerMed	ERA-NET Cofund
USECARE	AAL 2	Article 185
DiVicia	PRIMA	Article 185
UToPIQ	PRIMA	Article 185
TechPEPCon	ICRAD	ERA-NET Cofund
GENDIBAR	PRIMA	Article 185
PHAGE-EX	JPIAMR-ACTION	ERA-NET Cofund
